1	1	1
2	1	1
3	3	2
1	1	1
1	1	1.0001
1	1	1.0002
1.001	1	1.0001
1	1	1.00005
1	2	3
2	3	4
3	4	5
4	5	6
4	5	6.0001
4	5	6.0002
4	5	6.0003
4	5	6.0004
4	5	6.0005
4	5	6.0006
4	5	6.0007
4	5	6.0008
4	5	6.0009
4	5	6.0010
4.0001	5	6.0001
4.0001	5	6.0002
4.0001	5	6.0003
4.0001	5	6.0004
4.0001	5	6.0005
4.0001	5	6.0006
4.0001	5	6.0007
4.0001	5	6.0008
4.0001	5	6.0009
4.0001	5	6.0010
4.0002	5	6.0001
4.0002	5	6.0002
4.0002	5	6.0003
4.0002	5	6.0004
4.0002	5	6.0005
4.0002	5	6.0006
4.0002	5	6.0007
4.0002	5	6.0008
4.0002	5	6.0009
4.0002	5	6.0010
4.0003	5	6.0001
4.0003	5	6.0002
4.0003	5	6.0003
4.0003	5	6.0004
4.0003	5	6.0005
4.0003	5	6.0006
4.0003	5	6.0007
4.0003	5	6.0008
4.0003	5	6.0009
4.0003	5	6.0010
4.0004	5	6.0001
4.0004	5	6.0002
4.0004	5	6.0003
4.0004	5	6.0004
4.0004	5	6.0005
4.0004	5	6.0006
4.0004	5	6.0007
4.0004	5	6.0008
4.0004	5	6.0009
4.0004	5	6.0010
